v_wind_mps,omega_ss_radps,power_ss_W,power_peak_W,omega_peak_radps
3.0,12.273331478404996,12.050773246304558,12.05077348117765,12.273331598010405
4.0,17.15327526457003,23.5387881841688,23.538789040206336,17.15327557647749
5.0,22.04080632131695,38.86377146350442,38.863772325896505,22.04080656586111
6.0,26.93214471154397,58.02723350108371,58.02723759855171,26.932145662421632
7.0,31.825662614799192,81.0298240696822,81.02982981234906,31.825663742557882
8.0,36.72054430117688,107.87186990197553,107.87187466975911,36.72054511267485
9.0,41.61633570279317,138.55355178620619,138.5535565219091,41.616336414007705
10.0,46.5127642763876,173.0749792504639,173.07498766051546,46.51276540646066
11.0,51.4096564663289,211.4362222388763,211.43623723002818,51.409658288840554
12.0,56.30689615541144,253.63732437250297,253.637334534802,56.3068972834148
13.0,61.20440354155119,299.67832103016383,299.67834664496166,61.20440615725326
14.0,66.10212105309571,349.55923261744965,349.5592484125496,66.10212254653302
15.0,71.00000699002756,403.2800794067175,403.28011654423864,71.0000102591752
